202,Ashwin, William M.,,102,NY,Infantry,,,,,1865,188.1,8
203,Asman, Joseph R.,"Osman, Joseph R.",,PA,,,Drummer,,,1863,171.1,6
204,Atchinson, W.C.,"Atchinson, Watson C.",42,IN,Infantry,,,,,1865,188.1,8
205,Atherton, Henry,,133,NY,Infantry,D,,,,1863,171.1,6
206,Atkins, Charles F.,,8,ME,Infantry,D,,,,1864,178.1,6
207,Atkinson,,"Greaves, George",16,IL,Infantry,K,Pvt.,,16 IL Cavalry,1865,188.1,8
208,Atkinson, T.C.,,1,ME,Heavy Artillery,H,,,,1864,178.1,6
209,Atlee, Charles L.,,121,PA,Infantry,C,Sgt.,,,1863,171.1,6
210,Atwater, John S.,,46,OH,Infantry,I,,,,1865,188.1,8
211,Atwell, John,,165,NY,Infantry,A,,,,1863,171.1,6
212,Atwell, William C.,,12,NY,Cavalry,F,Q.M. Sgt.,,,1864,178.1,6
213,Atwood, Warren,,32,MA,Infantry,E,,,,1863,171.1,6
214,Atwood, Warren,,,,Veteran Reserve Corps,213,Pvt.,,"Veteran Reserve Corps, 11th Regiment, Co. C",1864,178.1,6
215,Aubigny, Philip Edward,"D'Aubigny, Philip Edward",2,US,Infantry,,,,,1864,178.1,7
216,Auchenbeck, William,"Auchenback, William",33,PA,Infantry,D,,,,1864,178.1,7
217,Augur, Charles B.,,27,CT,Infantry,A,,,,1862-1863,192.1,1
218,Aumick, George,,143,PA,Infantry,K,,,,1864,178.1,7
219,Austin, Edward J.,,1,NY,Infantry,A,,,,1863,171.1,6
220,Austin, Franklin,,99,PA,Infantry,H,,,,1864,178.1,7
221,Austin, Franklin,,99,PA,Infantry,H,,,,1864,178.1,7
222,Austin, John,"Hendrickson, Charles",12,NY,Cavalry,L,,,,1863,171.1,6
223,Austin, John L.,,157,NY,Infantry,E,,,,1864,178.1,7
224,Austin, Levinus,,14,NY,Heavy Artillery,M,,,,1864,178.1,7
225,Austin, William Henry,,109,NY,Infantry,D,Sgt.,,,1864,178.1,7
